ID;Название;Кол-во просмотров;Настроение;ТОП10 Слов
56;My wish: Manufactured landscapes and green education;719733;Informative Inspiring Fascinating;китай желание предприятие масштаб фабрика шанхай снимок переработка рабочий приз
57;My wish: Three unusual medical inventions;341364;Ingenious Informative Fascinating;приступ мигрень сигнал свечение желание боль эпилепсия сердце симптом изобретение
58;My wish: Help me stop pandemics;623841;Inspiring Informative Persuasive;оспа гисоза мера диагностирование заболевание грипп пандемия воз пневмония слепота
59;My wish: Three actions for Africa;651983;Inspiring Persuasive Courageous;америка желание эфиопия благотворительность кампания континент нищета ситуация справедливость зал
60;Four American characters;836094;Fascinating Inspiring Beautiful;гек америка бык пора поезд родео голос маиша жертва нос
61;"How the ""ghost map"" helped end a killer disease";562213;Informative Fascinating Inspiring;лондон холера вспышка водокачка житель сноу течение рассказ смерть здравоохранение
62;Global priorities bigger than climate change;1220988;Persuasive Informative Unconvincing;список климат приоритет очередь польза экономист оон идеал канализация спид
63;The era of open innovation;1212904;Inspiring Informative Persuasive;велосипед потребитель инновация пользователь изобретение креативность персонаж код творчество журналист
64;Happiness in body and soul;918006;Inspiring Courageous Beautiful;вагин вагина зал девочка насилие путешествие счастие влагалище агнес волна
65;The radical promise of the multi-touch interface;4381282;Jaw-dropping Ingenious Fascinating;интерфейс палец приложение клавиатура сенсор датчик устроийство визуализация техника тип
66;Do schools kill creativity?;36974839;Inspiring Funny Persuasive;джилиан способность девочка творчество шекспир разум комната урок врач доктор
67;How juries are fooled by statistics;948853;Informative Persuasive Fascinating;решка орел вероятность последовательность тест статистика заболевание число монетка объяснение
68;Progress is not a zero-sum game;800735;Funny Inspiring Persuasive;сумма эволюция ситуация смысл ненависть прогресс бизнес-класс спасение динамика качество
69;Dreams from endangered cultures;1900643;Inspiring Fascinating Informative;народ лес дух культура племя растение инуит вуду этносфера тибет
70;8 secrets of success;8426451;Inspiring Funny Informative;участник успех удовольствие практика любовь руперт самолет настойчивость конференция преодоление
71;A life of purpose;2535744;Inspiring Persuasive Unconvincing;бог влияние индивидуальность церковь мировоззрение моисей посох пастор символ чудак
72;Technology's long tail;660163;Informative Fascinating OK;цена стадия масса тренд автомобиль мера бесплатность следствие влияние снижение
73;In praise of slowness;1761499;Inspiring Persuasive Informative;скорость неторопливость удовольствие сын секс ритм культура рабочий еда италия
74;The route to a sustainable future;1152348;Inspiring Informative Persuasive;средство доступ мина ситуация телефон сотрудничество метод инструмент воздействие беженец
75;Why we should invest in a free press;354509;Informative Inspiring Persuasive;газета сми бизнес облигация инвестор николаевич кредит зал борис цифра
76;The gentle genius of bonobos;1937374;Jaw-dropping Fascinating Informative;панбаниш инструмент лес камень костер зажигалка ножницы исследователь нийот среда
77;The shrimp with a kick!;958282;Fascinating Informative Jaw-dropping;рак богомол орган пружина датчик скорость поверхность седло улитка пик
78;Visual illusions that show how we (mis)think;1681159;Fascinating Funny OK;иллюзия восприятие дельфин размер счастие удовольствие опыт ожидание деталь портрет
79;How mobile phones can fight poverty;374419;Inspiring Informative Ingenious;телефон банк власть житель бангладеш услуга производительность способность народ зрение
80;The life code that will reshape the future;642346;Informative Fascinating Jaw-dropping;код ген днк бактерия государство набор богатство предложение библиотека рак
81;"Singing ""What I Want""";341462;Beautiful Inspiring Fascinating;разум сердце дождик стиль уайетт облако сэр стремление парадокс лед
82;Luke, a new prosthetic arm for soldiers;1467420;Jaw-dropping Inspiring Ingenious;ребята палец свобода градус стол штука кисть вашингтон миссия фунт
83;My wish: Build the Encyclopedia of Life;1088976;Inspiring Informative Fascinating;бактерия среда муравей организм существо энциклопедия эволюция класс биология вирус
84;My wish: Let my photographs bear witness;976642;Courageous Inspiring Jaw-dropping;битва фотограф военный журналистика армия врач конфликт условие влияние реакция
85;My wish: Rebuilding Rwanda;795975;Inspiring Informative Persuasive;руанда лекарство спид цена здравоохранение область туберкулез фармер порядок гаити
86;Letting go of God;3406943;Funny Courageous Inspiring;бог мороз дед возраст рождение разумность весы сентябрь билл церковь
87;Nerdcore comedy;5324807;Funny OK Ingenious;средство крис кукла конференция сайт участие франк счет голос бангур
89;Why did I ski to the North Pole?;569783;Inspiring Courageous Fascinating;полюс лед лыжа экспедиция пилот миля палатка вертолет бен телефон
90;Unleash your creativity in a Fab Lab;602407;Inspiring Fascinating Ingenious;лаборатория изготовление операция революция производство инструмент техника атом граница шаг
91;Invest in Africa's own solutions;531382;Inspiring Informative Persuasive;сетка свитер бизнес бедность руанда товар танзания услуга деятельность класс
92;The best stats you've ever seen;10394471;Informative Fascinating Jaw-dropping;доход продолжительность статистика азия здравоохранение картина размер америка показатель экономика
93;The paradox of choice;8266982;Persuasive Fascinating Informative;выбор джинсы вариант свобода рост магазин телефон ожидание фонд аквариум
94;Let's teach religion -- all religion -- in schools;2204475;Persuasive Informative Courageous;религия бог овца смысл корова род факт рик отбор эволюция
96;Why we do what we do;16092136;Inspiring Persuasive Fascinating;потребность эмоция аудитория ресурс любовь культура убеждение правило судьба секунда
97;The surprising science of happiness;12151416;Fascinating Informative Inspiring;счастие картина выбор номер статистика разница комната вариант амнезия снимок
98;Why the universe seems so strange;2410221;Fascinating Inspiring Informative;вселенная атом камень теория скорость зал волна пустота запах кислота
99;"Global warming's theme song, ""Manhattan in January""";499185;Funny Beautiful OK;манхеттен январь майка свист тарелка ролик парочка ока крокодил кулак
101;Casting a spell on the cello;359620;Beautiful OK Inspiring;солнце цифра мелькание север лава виолончель камень сердце осколок англия
102;The illusion of consciousness;2256825;Informative Fascinating OK;сознание фокус философ деталь куб магия картинка фигура секунда эксперт
103;How to truly listen;3450150;Inspiring Jaw-dropping Beautiful;палочка барабан инструмент произведение гром музыкант зал пьеса струна снег
104;Cradle to cradle design;1275093;Persuasive Inspiring Ingenious;план питание крыша рост дерево птица воздух производство качество апплодисменты
105;The electricity metaphor for the web's future;642718;Informative Inspiring Funny;лихорадка золото лампочка техника сравнение гнездо электричество изобретение корабль кабель
108;A mockingbird remix of TED2006;600731;Beautiful Ingenious Funny;пересмешник утро космос народ ключ голос фраза рукопожатие район джонни
109;"""What You've Got""";388329;Beautiful Inspiring Jaw-dropping;польза солнце боль голос железо ухо мышца венок название разум
110;"""Kiteflyer's Hill""";482447;Beautiful Inspiring OK;хилл любовь вечер куда хьюердин имя лондон сон молчание томас
112;Why would God create a tsunami?;552578;Courageous Unconvincing Inspiring;бог цунами вера господь прихожанин волна церковь вселенная молитва объяснение
113;Militant atheism;3945176;Courageous Inspiring Persuasive;атеист бог дарвин религия теория агностик эвелинг фея атеизм чайник
114;A comic sendup of TED2006;554414;Funny Obnoxious Ingenious;сатана конференция потепление оспа голос уоррен рик попугай мораль эйнштейн
115;"""La Vie en Rose""";395824;Beautiful Funny OK;сердце ценитель счастие колокольчик труба частичка цвет рашель томас любовь
116;Dangerous memes;1410465;Persuasive Informative Fascinating;мема муравей вирус микроб паразит травинка секта иммунитет носитель ислам
117;Cape Breton fiddling in reel time;644724;Beautiful Inspiring OK;голубой река слеза воспоминание течение космонавт скрипка синтезатор лед высокогорье
118;The genesis of Google;1127862;Informative OK Inspiring;реклама оркута блог сергей поиск запрос совещание сайт сотрудник панель
119;"""Black Men Ski""";503359;Funny OK Ingenious;чернокожий лыжа ребята кровь виагра тачка дреды штука полицейский код
121;The ghastly tragedy of the suburbs;1462497;Persuasive Funny Inspiring;америка магазин зона культура центр смысл фасад пригород тротуар качество
122;Human-centered design;657129;Inspiring Informative Fascinating;стена кабинка магазин рассказчик товар одежда музей кения ричард зеркало
123;What squatter cities can teach us;856332;Unconvincing Informative Confusing;экономика вывод бедность безработица богатство эпоха жилье деревня гора инфраструктура
125;How brain science will change computing;1238536;Fascinating Informative Inspiring;теория память неокортекс дверь эволюция прогноз интеллект последовательность допущение нос
126;Swim with the giant sunfish;742702;Informative Fascinating Funny;рыба медуза бирка паразит солнце море поверхность прилов температура икринка
127;Want to help Africa? Do business here;727004;Inspiring Informative Persuasive;коррупция сектор континент бизнес нигерия нефть реформа экономика банк цена
128;Salvation (and profit) in greentech;694480;Inspiring Informative Persuasive;выброс март калифорния китай значение газ бразилия магазин потребитель лампочка
129;How PhotoSynth can connect the world's images;4516046;Jaw-dropping Ingenious Fascinating;режим просмотр текст фотоаппарат богоматерь собор реклама плакат выпуск газета
130;We can be Buddhas;1178348;Inspiring Beautiful Funny;существо сострадание будда взаимосвязанность восприятие ключ зонтик кожа лама далай
131;Rethink the desktop with BumpTop;1305753;Ingenious Funny Fascinating;икона стопка стол рабочий бумага интерфейс сетка десктоп просматривание подход
139;Tour Microsoft's Virtual Earth;282873;Jaw-dropping Informative Fascinating;пользователь съемка камера задача зрение разрешение брат поиск сбор математика
140;New insights on poverty;2960203;Jaw-dropping Inspiring Informative;швеция здравоохранение статистика средство чили нищета выброс тойота здоровье штат
141;I'm going to the moon. Who's with me?;1583156;Jaw-dropping Courageous Inspiring;космос команда луна метр миссия орбита топливо корабль лед робот
142;The potential of regenerative medicine;1240413;Fascinating Jaw-dropping Informative;конечность диабет медицина орган институт симптом лошадь подход язва ткань
143;Flip your thinking on AIDS in Africa;724752;Informative Persuasive Fascinating;распространение вич спид эпидемия смертность экспорт стратегия малярия уганда район
144;The Web's secret stories;927567;Jaw-dropping Fascinating Ingenious;различие вселенная клинтон небо капсула билл предложение зал мифология созвездие
145;The emergent genius of ant colonies;797813;Fascinating Informative Ingenious;муравей гнездо задание королева добытчик строитель поверхность пища рабочий вход
146;Spore, birth of a game;986762;Jaw-dropping Ingenious Fascinating;игрок существо игрушка поколение инструмент штука бог редактор галактика эволюция
147;Visualizing the wonder of a living cell;1500133;Jaw-dropping Beautiful Fascinating;красота истина механизм анимация капилляр предмет картина основа медицина идеал
148;The  4 a.m. mystery;2938622;Funny Ingenious Fascinating;утро джакометти фарон совпадение клинтон альберто ссылка шимборск вислава врач
149;How to get (a new) hip;483859;Funny Ingenious Inspiring;бедро доброволец хирург операция больница прием пересадка магазин молодой дэвид
151;Africa's cheetahs versus hippos;556295;Inspiring Courageous Informative;сектор африканец поколение глава государство лидер конференция власть гепард элита
152;Aid versus trade;421404;Persuasive Inspiring Informative;инфраструктура ресурс континент экономика рабочий фонд сестра африканец фундамент сектор
153;How I built a windmill;1201053;Inspiring Courageous Ingenious;мельница лопасть уильям радиоприемник ватов план орошение касунг мечта посев
154;Why invest in Africa;254134;Inspiring Informative Persuasive;нигерия капитал континент картинка инвестиция египет путешествие цифра уверенность канал
155;Telling stories from Africa;481851;Beautiful Inspiring Funny;фрейзер гарри нигерия идрис джеймс шутка народ тюрьма любовь америка
156;How to educate leaders? Liberal arts;991330;Inspiring Courageous Persuasive;лидер лидерство умение ганя экономика медсестра кодекс честь солдат значение
157;Patient capitalism;658309;Inspiring Informative Persuasive;сетка капитал фермер цена пекарня предприниматель малярия цвет выбор фонд
158;"""Thula Mama""";446155;Beautiful Inspiring Courageous;любовь детка полиция июнь улыбка память бабушка африкаанс кровь лидер
159;Aid for Africa? No thanks.;604061;Persuasive Informative Inspiring;благотворительность уганда доход гражданин задача отчаяние план сми банк фонд
161;The joy of lexicography;847289;Funny Informative Fascinating;словарь лексикография регулировщик королева значение окорок ветчина комета попка газета
162;My creations, a new form of life;3693502;Jaw-dropping Ingenious Fascinating;ветер колесо трубка нос пляж море щуп число воздух песок
163;The surprising decline in violence;1726930;Persuasive Informative Fascinating;насилие убийство число смерть сокращение течение райт статистика круг десятилетие
164;What our language habits reveal;1691325;Informative Fascinating Longwinded;глагол конструкция взятка предложение полицейский использование тип ситуация предлог смысл
165;"Building ""self-aware"" robots";1122298;Fascinating Ingenious Informative;робот кубик условие передвижение симуляция вознаграждение размножение понятие дизайнер мутация
167;10 ways the world could end;1576128;Informative Fascinating Funny;астероид номер дыра цивилизация черный солнце марс экосистема комета вселенная
168;The search for humanity's roots;787893;Informative Fascinating Inspiring;предок кость зуб шимпанзе скелет эфиопия обезьяна свидетельство возраст африканец
170;My journey into movies that matter;616322;Inspiring Informative Fascinating;разрыв голливуд презентация пьер бизнес долина тед акт надежда потепление
171;An Iraq war movie crowd-sourced from soldiers;439947;Courageous Inspiring Informative;солдат камера пол тадж иракец мориарти пинок пинк ирак письмо
172;Designing for simplicity;1019870;Funny Inspiring Fascinating;простота небо наставник япония читос звание пол купер дерево еда
174;My green agenda for architecture;615352;Inspiring Informative Longwinded;род море понятие строение потребление китай небо фуллер переход терминал
175;Kids can teach themselves;1292641;Inspiring Fascinating Informative;стена район ценность инфраструктура трущоба класс девочка офис дырка ряд
176;A flight on solar wings;697734;Ingenious Inspiring Fascinating;самолет приз полет крыло планер долг аппарат птица километр доля
177;The case for optimism;382199;Inspiring Informative Unconvincing;оспа потепление бангладеш оптимизм рост вирус море заболевание среда человечество
178;This is Saturn;2442957;Jaw-dropping Fascinating Beautiful;титан поверхность сатурн атмосфера энцелад луна протяжение путешествие зонд километр
181;Life at 30,000 feet;1420327;Inspiring Fascinating Informative;шар ричард авиалиния бизнес ситуация заболевание море бренд возраст яйцо
182;The illustrated woman;571923;Funny Confusing Beautiful;мертвый тетя волос собака правило февраль обложка смысл спиноза взрослый
183;Playing with DNA that self-assembles;349454;Fascinating Ingenious Informative;днк нить заклинание последовательность белок буква молекула чародей пробирка оригами
184;3 clues to understanding your brain;3434175;Fascinating Informative Jaw-dropping;фантом область зеркало боль синестезия конечность функция извилина сигнал способность
185;A commodities exchange for Ethiopia;478002;Informative Inspiring Courageous;фермер биржа эфиопия цена хозяйство выбор риск качество еда счастие
187;Laws that choke creativity;1763186;Persuasive Inspiring Informative;культура сауз контент бизнес смысл использование суд запись собственность чтение
188;"""Tembererana""";340499;Beautiful Inspiring Jaw-dropping;тембереран тембер сон университет имя новость военный библиотека сноска поезд
189;How electroshock therapy changed me;1254597;Courageous Inspiring Fascinating;депрессия дух терапия судорога метод сеанс приступ ужас бейзингсток навязчивость
190;The anthropology of mobile phones;590591;Informative Fascinating Inspiring;телефон деревня номер разработка китай делегирование ценность притяжение центр задача
191;The habits of happiness;5765670;Inspiring Beautiful Fascinating;счастие разум медитация состояние условие благоденствие ощущение радость гнев самосознание
192;A critical look at geoengineering against climate change;766218;Persuasive Informative Fascinating;выброс климат атмосфера газ геоинжиниринг слой тема частица концентрация использование
193;Using biology to rethink the energy challenge;705595;Persuasive Informative Fascinating;нефть биоэнергия уголь газ цена земледелие растение биология подход добыча
194;Beauty, truth and ... physics?;1064997;Informative Fascinating Beautiful;теория симметрия слой уравнение частица математика случайность ньютон явление луковица
195;The sticky wonder of gecko feet;667718;Fascinating Ingenious Informative;ступня стопа поверхность робот шип волосок рекс секрет принцип таракан
196;The music wars;503294;Funny Obnoxious OK;стив дама господь молодой джобс шоу мелодия замок телевидение осмеивание
197;Design and destiny;1581834;Funny Inspiring Fascinating;цивилизация щетка бог варварство мутант поэзия унитаз тип дизайнер сценарий
198;The fractals at the heart of African designs;1261793;Fascinating Jaw-dropping Informative;фрактал деревня линия число алгоритм математик повторение математика кольцо использование
199;"A performance of ""Mathemagic""";7594344;Jaw-dropping Fascinating Funny;аба число аудитория квадрат калькулятор цифра крошка ряд печение крис
200;Why aren't we more compassionate?;1230736;Inspiring Informative Persuasive;сострадание жертва зять область поиск убийца бомж заметка брат сайт
201;The lost art of letter-writing;442880;Beautiful Inspiring Courageous;письмо наследие смерть тетрадь публика бутылка бумага бухвальд арт сын
202;5 dangerous things you should let your kids do;3753903;Persuasive Funny Inspiring;огонь номер безопасность предмет инструмент метание способность руль правило деталь
203;We're worried about local warming ... in your lap;805514;Funny OK Informative;поза пиип потепление дама ноутбук волос мошонка блог температура электробритва
204;Tales of passion;3355951;Inspiring Courageous Funny;сердце страсть софи флаг муж власть деревня феминизм пациентка клиника
205;The mystery box;3072019;Funny Inspiring Fascinating;ящик загадка сцена дед тома челюсть эдди пришелец магия тип
206;Underwater astonishments;12565355;Fascinating Jaw-dropping Beautiful;осьминог кальмар окраска цефалопод кожа окружение мелководье существо узор дно
207;Treat design as art;531925;Informative Inspiring Fascinating;дизайнер выставка музей мебель предмет серия лекарство имза шедевр предложение
208;The life-long learner;1549891;Inspiring Beautiful Fascinating;теслер мистер фабрика робичек доктор черный колледж штат каролина смерть
209;Rebuilding a neighborhood with beauty, dignity, hope;547025;Inspiring Beautiful Courageous;центр питтсбург имя район херби цветок фонтан еда кухня браун
210;An unusual glimpse at celebrity;630754;Funny Ingenious Fascinating;знаменитость пресса диана блэр буш газета двойник королева важность мэрилин
211;TED's nonprofit transition;287914;Inspiring Courageous Persuasive;бизнес счастие конференция журнал фонд психология спикер ричард февраль тема
212;The idea behind Zipcar (and what comes next);381181;Informative Unconvincing Ingenious;автомобиль дорога выплата условие миля плата инструмент течение руль налог
213;A song of the city;533443;Inspiring Persuasive Informative;автобус парк тунч куритиба транспорт мусор черепаха планирование карьера роль
214;A plant's-eye view;1114718;Inspiring Fascinating Informative;трава пчела зрение инструмент сознание растение ферма картошка цветок газон
215;An illustrated journey through Rome;598049;Beautiful Longwinded Fascinating;рим голубь площадь дирижабль страница стена пантеон путешествие слой рисунок
216;The new power of collaboration;778581;Inspiring Informative Persuasive;дилемма сотрудничество игрок община институт биология интерес коммуникация принцип империя
217;What security means to me;948382;Inspiring Courageous Persuasive;безопасность вагин вагина течение монолог уганда куда агнес каир боль
218;The untouchable music of the theremin;1420333;Beautiful Fascinating Jaw-dropping;терменвокс штука инструмент нота тон изобретатель громкость мелодия выход дэвид
219;Building uniqueness;484911;Beautiful Inspiring Fascinating;музей красота гора галерея остров сооружение мост холм центр храм
220;A parable for Kenya;177270;Inspiring Courageous Persuasive;америка племя деревня район кения стипендия житель гимназия штат старейшина
221;The story of Project Orion;735713;Fascinating Funny Informative;корабль бомба размер орион ввс путешествие взрыв сатурн новость байдарка
222;The Jill and Julia Show;442382;Funny OK Beautiful;джулия джилл шоу опра пьяный депрессия герой аквариум писатель тоска
223;Juggle and jest;747947;Funny Jaw-dropping Fascinating;барри ричард жонглирование порядок дробь попытка булава план трюк команда
224;A preview of the WorldWide Telescope;886828;Fascinating Beautiful Jaw-dropping;вселенная телескоп путешествие астрономия галактика взгляд звезда вонг подход рой
225;Model rocketry;305487;Fascinating Inspiring Informative;ракета запуск полет голос техника борт скорость контроль топливо камера
227;On the verge of creating synthetic life;916934;Jaw-dropping Fascinating Informative;хромосома ген код организм бактерия биология топливо кусочек символ днк
228;A powerful idea about ideas;705794;Inspiring Informative Fascinating;скорость фигура размер класс ускорение рослинг доказательство математика тип простота
229;My stroke of insight;18390501;Inspiring Fascinating Jaw-dropping;полушарие правый карточка сознание боль утро диалог телефон инсульт состояние
230;5 predictions, from 1984;875704;Fascinating Informative Inspiring;экран палец средство телевизор чтение текст кадр ролик род качество
231;My days as a young rebel;545812;Longwinded Inspiring Funny;рыба металл окно центр участок мебель скульптура музей стена зал
232;My wish: Find the next Einstein in Africa;427744;Inspiring Courageous Persuasive;аимн взрыв вселенная теория физика математика высота желание план отель
233;My wish: Once Upon a School;1246649;Inspiring Funny Ingenious;центр ученик магазин район школьник товар писатель репетитор задание офис
